  0.500000000                      Infinity                  Infinity
   1.50000000      0.88622435772397690        2.5800595364611212E-006
   2.50000000       1.3293403886248283        1.8050441807915263E-008
   3.50000000       3.3233509704469637        4.6241211304476337E-008
   4.50000000       11.631728396566634        1.6184197804136602E-007
   5.50000000       52.342777784548709        7.2829004693630850E-007
   6.50000000       287.88527781502711        4.0055860495158413E-006
   7.50000000       1871.2543057976791        2.6036306508103735E-005
   8.50000000       14034.407293482351        1.9527254153217655E-004
   9.50000000       119292.46199460137        1.6598152142250910E-003
   10.5000000       1133278.3889487193        1.5768238343298435E-002
