0.135	19
0.124	19
0.485	24
0.0343	10
0.25	20
1.132	25
0.289	20
4.03	25
2.38	28
1.095	24
2.54	28
0.0033	4
1.87	31
0.240	22
0.1427	19
0.574	20
1.168	29
1.012	28
0.0238	12
0.126	10
0.0054	4
0.0032	4
0.0774	12
17.6	50
0.175	17
0.072	12
0.0577	12
0.0512	12
0.266	20
0.318	20
0.096	15
0.128	17
8.88	40
0.117	15
38.925	45
0.31	18
0.188	17
2.33	28
2.6	28
1.15	24
0.0066	4
0.088	13
0.117	15
0.412	20
2.43	16
0.163	20
3.89	25
0.0981	15
5.07	30
0.0318	10
0.509	18
0.439	20
0.761	20
5.71	39
3.63	30
0.0337	15
0.0338	10
2.5	33
0.0831	18
0.04	15
0.165	15
0.0191	8
3.038	35
1.33	29
0.035	12
0.145	15
0.18	15
0.274	18
0.740	18
3.97	32
6.29	35
21.7	50
0.003	4
0.97	25
0.187	20
0.52	25
100	45
1.289	29
1.017	28
0.09	10
0.053	12
0.067	12
0.0535	12
0.0485	12
10.32	40
