                  1000           2                   576
                  1000           4                   289
                  1000           8                   304
                  1000          16                 22438
               1000000           2                111109
               1000000           4                183740
               1000000           8                125803
               1000000          16                148959
            1073741824           2             117078481
            1073741824           4             199684147
            1073741824           8             201718417
            1073741824          16             184218552
